NAME,CASUAL_PLAYTIME,NORMAL_PLAYTIME,COMPLETE_PLAYTIME
The Last of Us Part II,23,28.5,38
Antichamber,6,7.5,8.5
Bright Memory Infinite,0,0,0
Bastion,6,9,20
Bioshock The Collection,44,0,0
Bayonetta  Vanquish 10th Anniversary Bundle,16.5,0,0
Black Mesa,13.5,16,18.5
Call of Cthulhu Dark Corners of the Earth,12,13,18
Conarium,4,4.5,5
Dishonored The Knife of Dunwall DLC,4,5,8
Darksiders II The Demon Lord Belial DLC,1,1.5,1.5
Dusk Child,1,0,0
Fallout 3 Game of the Year Edition,28,65,106
Braid,5,6,7.5
Shadow of the Tomb Raider The Price of Survival DLC,1,1,1.5
Deus Ex Human Revolution  The Missing Link DLC,4.5,6,7
Death and Taxes,3,5,8
Far Cry 3 The Lost Expeditions DLC,1,1,1
Octopath Traveler Prologue Demo,3,0,0
Dear Esther Landmark Edition,1.5,0,0
Dead Cells The Bad Seed,0,0,0
Dark Souls II Crown of the Old Iron King DLC,4,6,7.5
Far Cry 4 Escape from Durgesh Prison,3,0,4
QUBE 2,5.5,6.5,7
Doom 3 Resurrection of Evil,4,5,6
Fallout New Vegas  Old World Blues DLC,6.5,8,11
Observation,6,6,6.5
Eastshade,12,12.5,12.5
Devil May Cry 5  Bloody Palace,0,0,8
Final Fantasy XIII2 Lightnings Story  Requiem of the Goddess,1,0,2
Gone Home,2,2.5,3
Dishonored 2,12.5,22.5,44.5
Limbo of the Lost,0,0,13
Borderlands 2 Ultimate Vault Hunter Upgrade Pack 2  Digistruct Peak Challenge,1,1,1
The Search for Amelia Earhart,0,0,0
Final Fantasy XIII2 Lightnings Story  Requiem of the Goddess,1,0,2
Song of Horror  Episode 2,0,0,0
Discolored,1.5,0,0
Lightmatter,4,5,0
Far Cry 2,17,27,42.5
Dead Space 2 Severed DLC,1.5,1.5,2
Far Cry 4 Escape from Durgesh Prison,3,0,4
Subnautica Below Zero,0,64,0
NaissanceE,4,4,4
The Pedestrian,4,4,4
Super Meat Boy Forever,0,0,0
The Witcher 3 Wild Hunt  Game of the Year Edition,53,127,190
Tomb Raider The Angel of Darkness,14.5,16.5,19.5
Doom Eternal,13.5,18,23.5
Rage 2 Rise Of The Ghosts,4.5,4.5,7
The Swapper,5,5.5,6
Ori and the Blind Forest Definitive Edition,8.5,10.5,12
The Room VR A Dark Matter,3,3.5,7.5
Thimbleweed Park,10.5,13.5,15.5
What Remains of Edith Finch,2,2.5,3
The Vanishing of Ethan Carter,4,4.5,4.5
The Turing Test,5,5.5,6
Superliminal,2,3.5,3.5
The Forest Below,0,0,0
Obduction,12,16.5,17.5
The Binding of Isaac Wrath of the Lamb,11,53,138
Echoes of the Fey The Foxs Trail,0,0,1
Final Fantasy XIV Shadowbringers DLC,61,913,0
Resident Evil 2 2019  The Ghost Survivors,1,3,4.5
Machinarium,5,5.5,6
Gravitas,1,1.5,1.5
Insanely Twisted Shadow Planet,5.5,6,7.5
Rage Mobile,1,0,0
Mass Effect 2 Zaeed  The Price of Revenge DLC,1,1,1.5
Hollow Knight  The Grimm Troupe,2,0,2
Gods Will Be Watching,6.5,9,13.5
The Messenger  Picnic Panic DLC,2.5,3,3.5
The Talos Principle Road to Gehenna,7.5,10,13
The Witcher 3 Wild Hunt  Game of the Year Edition,53,127,190
Transistor,6,8.5,15.5
The Park,1.5,1.5,2
Grisaia Phantom Trigger Vol2,2.5,0,2.5
Metro Exodus The Two Colonels,2.5,2.5,3
Soma Spirits Rebalance,0,5.5,0
The Room 2012,2.5,2.5,2.5
The Stanley Parable 2013,1.5,2.5,7.5
Stories Untold,2.5,3,3
Fallout 4 Game of the Year Edition,31.5,107,209
Observer,7,8.5,10.5
Rise of the Tomb Raider  Baba Yaga The Temple of the Witch,1.5,2,2.5
The Witcher 2 Assassins of Kings,24,34,54
Rememoried,2,0,4.5
Nephise Ascension,1,1.5,1.5
Firewatch,4,4.5,5
Final Fantasy XV Episode Gladiolus,1,1.5,2.5
